Time,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,P,Q,R,Phi,Theta,Psi,Class
148,5945.28503,5963.475581,6071.112958,6178.750334,6160.559784,6052.922407,-0.924807642,0.040639503,-0.040830124,0.258895254,0.380317173,0.157985713,0
149,5946.132984,5962.008786,6069.955583,6177.90238,6162.026578,6054.079781,-0.953688289,0.039690841,-0.041781699,0.249380179,0.380809771,0.157663817,0
150,5946.876394,5960.646536,6068.902753,6177.158971,6163.388829,6055.132611,-0.978927845,0.038758587,-0.042648498,0.239587987,0.381292539,0.157324794,0
151,5947.528149,5959.37594,6067.941578,6176.507215,6164.659425,6056.093787,-1.000545198,0.037840107,-0.043431024,0.229555372,0.381765081,0.156969608,0
152,5948.09955,5958.185698,6067.060757,6175.935815,6165.849666,6056.974608,-1.018594401,0.036932711,-0.044130588,0.219318669,0.382227009,0.156599237,0
153,5948.600502,5957.065905,6066.250383,6175.434862,6166.96946,6057.784981,-1.033160463,0.036033717,-0.044749217,0.208913517,0.382677942,0.15621467,0
154,5949.039693,5956.007874,6065.501773,6174.995671,6168.027491,6058.533592,-1.044355249,0.035140507,-0.045289553,0.19837457,0.383117511,0.155816895,0
155,5949.424736,5955.00399,6064.807309,6174.610629,6169.031374,6059.228055,-1.052313537,0.034250584,-0.045754767,0.187735244,0.383545364,0.155406891,0
156,5949.762307,5954.047578,6064.160318,6174.273057,6169.987786,6059.875047,-1.057189239,0.033361621,-0.046148467,0.177027507,0.383961167,0.154985624,0
157,5950.058259,5953.132786,6063.554945,6173.977105,6170.902579,6060.480419,-1.05915182,0.032471498,-0.046474621,0.166281698,0.384364606,0.154554039,0
158,5950.317723,5952.254481,6062.986061,6173.717641,6171.780884,6061.049304,-1.058382932,0.031578345,-0.046737472,0.155526392,0.384755392,0.154113058,0
159,5950.545198,5951.408165,6062.449165,6173.490166,6172.6272,6061.586199,-1.055073267,0.030680561,-0.046941473,0.144788289,0.385133258,0.15366357,0
160,5950.744628,5950.589894,6061.940315,6173.290736,6173.44547,6062.095049,-1.04941965,0.029776839,-0.047091213,0.134092138,0.385497964,0.153206433,0
161,5950.91947,5949.796212,6061.456053,6173.115894,6174.239153,6062.579311,-1.041622374,0.028866174,-0.047191361,0.123460689,0.385849295,0.152742467,0
162,5951.072756,5949.024085,6060.993347,6172.962608,6175.011279,6063.042018,-1.031882784,0.02794787,-0.047246606,0.112914667,0.386187065,0.152272454,0
